teamAbbrev,conferenceHomeSequence,conferenceL10Sequence,conferenceRoadSequence,conferenceSequence,divisionHomeSequence,divisionL10Sequence,divisionRoadSequence,divisionSequence,gameTypeId,goalDifferential,goalFor,goalAgainst,homeGoalDifferential,homeGoalsFor,homeGoalsAgainst,homeLosses,homeOtLosses,homePoints,homeRegulationWins,homeWins,l10GamesPlayed,l10GoalDifferential,l10GoalsAgainst,l10GoalsFor,l10Losses,l10OtLosses,l10Points,l10RegulationWins,l10Wins,leagueHomeSequence,leagueL10Sequence,leagueRoadSequence,leagueSequence,losses,otLosses,points,regulationPlusOtWins,regulationWins,roadGoalDifferential,roadGoalsFor,roadGoalsAgainst,roadLosses,roadOtLosses,roadPoints,roadRegulationWins,roadWins
FLA,1,5,3,1,1,4,1,1,2,94,340,246,73,192,119,7,0,68,26,34,10,6,32,38,3,0,14,4,7,1,9,4,1,18,6,122,55,42,21,148,127,11,6,54,16,24
COL,1,11,4,1,1,6,2,1,2,78,312,234,65,172,107,5,4,68,26,32,10,1,36,37,5,1,9,4,4,2,21,10,2,19,7,119,52,46,13,140,127,14,3,51,20,24
CAR,3,1,2,2,1,1,2,1,2,76,278,202,46,135,89,8,4,62,27,29,10,11,29,40,2,0,16,7,8,5,2,3,3,20,8,116,53,47,30,143,113,12,4,54,20,25
TOR,2,2,7,3,2,1,3,2,2,62,315,253,48,154,106,8,2,64,27,31,10,6,32,38,2,1,15,5,7,3,5,11,4,21,7,115,51,45,14,161,147,13,5,51,18,23
MIN,2,1,5,2,2,1,3,2,2,57,310,253,49,170,121,8,2,64,20,31,10,12,30,42,1,1,17,4,8,4,1,13,5,22,7,113,48,37,8,140,132,14,5,49,17,22
CGY,4,4,1,3,1,2,1,1,2,85,293,208,57,156,99,9,7,57,23,25,10,10,30,40,2,2,14,5,6,9,8,2,6,21,11,111,48,44,28,137,109,12,4,54,21,25
NYR,5,6,5,4,2,2,3,2,2,47,254,207,36,132,96,10,4,58,22,27,10,13,21,34,4,0,12,6,6,7,12,7,7,24,6,110,48,44,11,122,111,14,2,52,22,25
TBL,4,4,8,5,3,3,4,3,2,54,287,233,37,143,106,8,6,60,20,27,10,19,29,48,3,0,14,6,7,6,7,12,8,23,8,110,49,39,17,144,127,15,2,50,19,24
STL,5,2,3,4,4,2,1,3,2,69,311,242,41,156,115,10,5,57,22,26,10,12,35,47,2,1,15,5,7,10,3,8,9,22,11,109,47,43,28,155,127,12,6,52,21,23
BOS,6,7,4,6,4,5,2,4,2,35,255,220,18,132,114,13,2,54,23,26,10,3,25,28,4,0,12,5,6,12,14,6,10,26,5,107,49,40,17,123,106,13,3,53,17,25
EDM,6,3,6,5,2,1,3,2,2,38,290,252,28,156,128,12,1,57,19,28,10,12,24,36,2,1,15,5,7,11,4,14,11,27,6,104,44,38,10,134,124,15,5,47,19,21
PIT,7,9,6,7,3,3,4,3,2,43,272,229,23,146,123,13,5,51,17,23,10,3,32,35,4,1,11,4,5,14,18,9,12,25,11,103,43,37,20,126,106,12,6,52,20,23
WSH,10,10,1,8,6,4,1,4,2,30,275,245,2,131,129,16,6,44,15,19,10,0,35,35,4,2,10,4,4,21,19,1,13,26,12,100,39,35,28,144,116,10,6,56,20,25
LAK,11,6,2,6,5,4,2,3,2,3,239,236,7,122,115,16,4,46,17,21,10,1,31,32,3,1,13,6,6,19,11,5,14,27,11,99,40,35,-4,117,121,11,7,53,18,23
DAL,3,8,11,7,3,4,6,4,2,-8,238,246,19,132,113,10,4,58,21,27,10,-5,29,24,3,2,12,4,5,8,16,19,15,30,6,98,41,31,-27,106,133,20,2,40,10,19
NSH,7,10,9,8,5,5,4,5,2,14,266,252,18,130,112,14,2,52,19,25,10,-12,42,30,4,2,10,1,4,13,20,17,16,30,7,97,41,35,-4,136,140,16,5,45,16,20
VGK,9,9,7,9,3,5,4,4,2,18,266,248,17,139,122,15,4,48,18,22,10,5,33,38,2,4,12,3,4,16,17,15,17,31,8,94,39,34,1,127,126,16,4,46,16,21
VAN,10,5,8,10,4,3,5,5,2,13,249,236,18,127,109,14,7,47,15,20,10,9,32,41,2,2,14,4,6,18,10,16,18,30,12,92,37,32,-5,122,127,16,5,45,17,20
