teamAbbrev,conferenceHomeSequence,conferenceL10Sequence,conferenceRoadSequence,conferenceSequence,divisionHomeSequence,divisionL10Sequence,divisionRoadSequence,divisionSequence,gameTypeId,goalDifferential,goalFor,goalAgainst,homeGoalDifferential,homeGoalsFor,homeGoalsAgainst,homeLosses,homeOtLosses,homePoints,homeRegulationWins,homeWins,l10GamesPlayed,l10GoalDifferential,l10GoalsAgainst,l10GoalsFor,l10Losses,l10OtLosses,l10Points,l10RegulationWins,l10Wins,leagueHomeSequence,leagueL10Sequence,leagueRoadSequence,leagueSequence,losses,otLosses,points,regulationPlusOtWins,regulationWins,roadGoalDifferential,roadGoalsFor,roadGoalsAgainst,roadLosses,roadOtLosses,roadPoints,roadRegulationWins,roadWins
WPG,8,7,10,11,6,3,5,6,2,-5,252,257,25,141,116,15,3,49,19,23,10,0,30,30,4,0,12,6,6,15,13,18,19,32,11,89,37,32,-30,111,141,17,8,40,13,16
NYI,9,13,9,9,5,6,5,5,2,-6,231,237,12,120,108,16,5,45,18,20,10,-6,37,31,6,1,7,3,3,20,29,20,20,35,10,84,35,34,-18,111,129,19,5,39,16,17
CBJ,8,11,12,10,4,5,6,6,2,-38,262,300,-1,141,142,15,5,47,16,21,10,1,31,32,5,1,9,3,4,17,22,25,21,38,7,81,33,26,-37,121,158,23,2,34,10,16
SJS,12,12,13,12,6,6,7,6,2,-50,214,264,-26,107,133,18,5,41,12,18,10,-7,35,28,4,3,9,2,3,23,23,23,22,37,13,77,29,22,-24,107,131,19,8,36,10,14
ANA,13,15,12,13,7,8,6,7,2,-39,232,271,-9,115,124,19,5,39,13,17,10,-6,37,31,5,2,8,3,3,25,27,22,23,37,14,76,27,22,-30,117,147,18,9,37,9,14
BUF,12,8,11,11,6,6,6,5,2,-58,232,290,-18,123,141,18,6,40,14,17,10,-3,35,32,4,0,12,5,6,24,15,24,24,39,11,75,29,25,-40,109,149,21,5,35,11,15
DET,11,12,13,12,5,7,7,6,2,-82,230,312,-24,131,155,16,7,43,12,18,10,-14,35,21,6,0,8,4,4,22,25,28,25,40,10,74,29,21,-58,99,157,24,3,31,9,14
OTT,14,3,10,13,7,2,5,7,2,-39,227,266,-22,111,133,22,4,34,11,15,10,4,30,34,2,1,15,4,7,28,6,21,26,42,7,73,30,26,-17,116,133,20,3,39,15,18
CHI,15,13,14,14,7,7,7,7,2,-72,219,291,-39,111,150,21,6,34,6,14,10,-9,36,27,5,1,9,1,4,30,24,26,27,42,12,68,22,16,-33,108,141,21,6,34,10,14
NJD,13,14,16,14,7,7,8,7,2,-59,248,307,-17,126,143,20,5,37,10,16,10,-11,38,27,5,3,7,2,2,26,30,31,28,46,9,63,24,19,-42,122,164,26,4,26,9,11
PHI,15,16,15,15,8,8,7,8,2,-87,211,298,-31,114,145,21,6,34,11,14,10,-19,42,23,8,0,4,2,2,29,32,30,29,46,11,61,24,20,-56,97,153,25,5,27,9,11
SEA,14,14,16,15,8,7,8,8,2,-69,216,285,-34,110,144,22,3,35,14,16,10,-5,35,30,6,0,8,3,4,27,26,32,30,49,6,60,24,23,-35,106,141,27,3,25,9,11
ARI,16,16,15,16,8,8,8,8,2,-106,207,313,-52,103,155,27,3,25,10,11,10,-20,48,28,5,2,8,2,3,32,28,27,31,50,7,57,24,18,-54,104,158,23,4,32,8,14
MTL,16,15,14,16,8,8,8,8,2,-98,221,319,-42,110,152,26,4,26,9,11,10,-13,44,31,8,0,4,2,2,31,31,29,32,49,11,55,19,16,-56,111,167,23,7,29,7,11
