teamAbbrev,conferenceHomeSequence,conferenceL10Sequence,conferenceRoadSequence,conferenceSequence,divisionHomeSequence,divisionL10Sequence,divisionRoadSequence,divisionSequence,gameTypeId,goalDifferential,goalFor,goalAgainst,homeGoalDifferential,homeGoalsFor,homeGoalsAgainst,homeLosses,homeOtLosses,homePoints,homeRegulationWins,homeWins,l10GamesPlayed,l10GoalDifferential,l10GoalsAgainst,l10GoalsFor,l10Losses,l10OtLosses,l10Points,l10RegulationWins,l10Wins,leagueHomeSequence,leagueL10Sequence,leagueRoadSequence,leagueSequence,losses,otLosses,points,regulationPlusOtWins,regulationWins,roadGoalDifferential,roadGoalsFor,roadGoalsAgainst,roadLosses,roadOtLosses,roadPoints,roadRegulationWins,roadWins
NYR,3,2,1,1,1,2,1,1,2,60,252,192,26,125,99,11,5,55,19,25,10,8,25,33,3,0,14,6,7,6,2,1,1,22,7,113,49,43,34,127,93,11,2,58,24,28
MTL,2,6,2,2,2,3,1,1,2,32,221,189,30,122,92,9,6,58,19,26,10,0,30,30,2,3,13,2,5,3,12,4,2,22,10,110,43,37,2,99,97,13,4,52,18,24
ANA,4,7,1,1,2,3,1,1,2,10,236,226,7,117,110,12,3,55,16,26,10,-4,29,25,4,0,12,4,6,8,13,2,3,24,7,109,43,35,3,119,116,12,4,54,19,25
STL,3,4,2,2,2,3,1,1,2,47,248,201,31,126,95,12,2,56,21,27,10,3,23,26,3,1,13,5,6,5,7,3,4,24,7,109,42,37,16,122,106,12,5,53,16,24
TBL,1,5,9,3,1,2,4,2,2,51,262,211,52,141,89,8,1,65,28,32,10,3,26,29,3,1,13,4,6,1,10,19,5,24,8,108,47,43,-1,121,122,16,7,43,15,18
NSH,1,11,10,3,1,6,6,2,2,24,232,208,21,121,100,9,4,60,19,28,10,-5,32,27,4,2,10,3,4,2,21,18,6,25,10,104,41,33,3,111,108,16,6,44,14,19
CHI,5,13,6,4,3,7,4,3,2,40,229,189,24,117,93,12,5,53,17,24,10,-3,26,23,6,0,8,4,4,11,25,9,7,28,6,102,39,36,16,112,96,16,1,49,19,24
VAN,8,6,3,5,4,2,2,2,2,20,242,222,9,119,110,15,2,50,16,24,10,7,29,36,3,1,13,3,6,17,11,5,8,29,5,101,42,36,11,123,112,14,3,51,20,24
WSH,9,4,3,4,4,3,2,2,2,39,242,203,28,123,95,13,5,51,18,23,10,4,26,30,3,1,13,4,6,15,9,8,9,26,11,101,40,35,11,119,108,13,6,50,17,22
NYI,7,9,4,5,3,4,3,3,2,22,252,230,24,136,112,14,2,52,19,25,10,3,27,30,3,3,11,4,4,12,18,10,10,28,7,101,40,34,-2,116,118,14,5,49,15,22
