teamAbbrev,conferenceHomeSequence,conferenceL10Sequence,conferenceRoadSequence,conferenceSequence,divisionHomeSequence,divisionL10Sequence,divisionRoadSequence,divisionSequence,gameTypeId,goalDifferential,goalFor,goalAgainst,homeGoalDifferential,homeGoalsFor,homeGoalsAgainst,homeLosses,homeOtLosses,homePoints,homeRegulationWins,homeWins,l10GamesPlayed,l10GoalDifferential,l10GoalsAgainst,l10GoalsFor,l10Losses,l10OtLosses,l10Points,l10RegulationWins,l10Wins,leagueHomeSequence,leagueL10Sequence,leagueRoadSequence,leagueSequence,losses,otLosses,points,regulationPlusOtWins,regulationWins,roadGoalDifferential,roadGoalsFor,roadGoalsAgainst,roadLosses,roadOtLosses,roadPoints,roadRegulationWins,roadWins
MIN,9,5,4,6,5,4,2,4,2,30,231,201,23,127,104,13,6,50,19,22,10,4,20,24,3,1,13,5,6,19,8,6,11,28,8,100,42,38,7,104,97,15,2,50,19,24
DET,5,11,8,6,4,6,3,3,2,14,235,221,19,122,103,10,9,53,17,22,10,1,26,27,4,2,10,3,4,9,22,15,12,25,14,100,39,32,-5,113,118,15,5,47,15,21
OTT,8,3,7,7,5,1,2,4,2,23,238,215,17,136,119,13,5,51,17,23,10,1,25,26,2,2,14,2,6,14,4,13,13,26,13,99,37,30,6,102,96,13,8,48,13,20
WPG,7,2,7,7,4,2,5,5,2,20,230,210,26,128,102,13,5,51,17,23,10,8,21,29,3,1,13,6,6,16,5,14,14,26,13,99,36,32,-6,102,108,13,8,48,15,20
PIT,10,14,6,8,5,7,5,4,2,11,221,210,13,118,105,14,4,50,19,23,10,-11,32,21,5,2,8,2,3,18,27,12,15,27,12,98,39,33,-2,103,105,13,8,48,14,20
CGY,6,3,8,8,3,1,3,3,2,25,241,216,16,125,109,13,5,51,18,23,10,3,27,30,3,1,13,6,6,13,6,16,16,30,7,97,41,32,9,116,107,17,2,46,14,22
BOS,4,7,11,9,3,4,6,5,2,2,213,211,18,110,92,10,7,55,18,24,10,-3,26,23,3,2,12,3,5,7,15,21,17,27,14,96,37,28,-16,103,119,17,7,41,10,17
LAK,2,9,12,9,1,4,5,4,2,15,220,205,29,116,87,9,7,57,22,25,10,3,25,28,4,1,11,5,5,4,17,23,18,27,15,95,38,37,-14,104,118,18,8,38,15,15
DAL,12,1,5,10,7,1,3,6,2,1,261,260,-4,128,132,16,8,42,16,17,10,7,30,37,3,0,14,4,7,26,3,7,19,31,10,92,37,33,5,133,128,15,2,50,17,24
FLA,11,8,10,10,6,5,5,6,2,-17,206,223,-1,109,110,13,7,49,17,21,10,3,26,29,4,1,11,5,5,21,16,20,20,29,15,91,30,29,-16,97,113,16,8,42,12,17
COL,10,8,11,11,6,5,7,7,2,-8,219,227,9,120,111,15,3,49,16,23,10,0,26,26,4,0,12,5,6,20,14,22,21,31,12,90,29,27,-17,99,116,16,9,41,11,16
SJS,11,10,9,12,5,5,4,5,2,-4,228,232,-1,114,115,17,5,43,17,19,10,-2,31,29,4,1,11,4,5,24,20,17,22,33,9,89,36,34,-3,114,117,16,4,46,17,21
CBJ,15,1,5,11,8,1,4,5,2,-14,236,250,-17,116,133,20,2,40,12,19,10,18,25,43,0,1,19,6,9,27,1,11,23,35,5,89,33,28,3,120,117,15,3,49,16,23
PHI,6,10,13,12,2,5,7,6,2,-19,215,234,19,121,102,11,7,53,17,23,10,0,28,28,3,3,11,4,4,10,19,25,24,31,18,84,30,25,-38,94,132,20,11,31,8,10
NJD,13,16,12,13,6,8,6,7,2,-35,181,216,1,91,90,14,8,46,14,19,10,-15,33,18,6,3,5,0,1,23,30,24,25,36,14,78,27,26,-36,90,126,22,6,32,12,13
CAR,14,12,14,14,7,6,8,8,2,-38,188,226,-1,93,94,16,7,43,14,18,10,-4,27,23,5,1,9,3,4,25,24,28,26,41,11,71,25,24,-37,95,132,25,4,28,10,12
TOR,12,13,15,15,7,7,7,7,2,-51,211,262,4,132,128,17,2,46,16,22,10,-10,32,22,5,2,8,1,3,22,26,29,27,44,8,68,25,22,-55,79,134,27,6,22,6,8
EDM,13,12,14,13,6,6,7,6,2,-85,198,283,-29,96,125,23,3,33,12,15,10,-10,36,26,5,1,9,4,4,28,23,27,28,44,14,62,19,17,-56,102,158,21,11,29,5,9
ARI,14,14,13,14,7,7,6,7,2,-102,170,272,-55,78,133,25,5,27,6,11,10,-11,33,22,7,0,6,1,3,30,29,26,29,50,8,56,19,14,-47,92,139,25,3,29,8,13
BUF,16,15,16,16,8,8,8,8,2,-113,161,274,-37,83,120,22,5,33,9,14,10,-7,33,26,6,1,7,3,3,29,28,30,30,51,8,54,15,14,-76,78,154,29,3,21,5,9
