teamAbbrev,conferenceHomeSequence,conferenceL10Sequence,conferenceRoadSequence,conferenceSequence,divisionHomeSequence,divisionL10Sequence,divisionRoadSequence,divisionSequence,gameTypeId,goalDifferential,goalFor,goalAgainst,homeGoalDifferential,homeGoalsFor,homeGoalsAgainst,homeLosses,homeOtLosses,homePoints,homeRegulationWins,homeWins,l10GamesPlayed,l10GoalDifferential,l10GoalsAgainst,l10GoalsFor,l10Losses,l10OtLosses,l10Points,l10RegulationWins,l10Wins,leagueHomeSequence,leagueL10Sequence,leagueRoadSequence,leagueSequence,losses,otLosses,points,regulationPlusOtWins,regulationWins,roadGoalDifferential,roadGoalsFor,roadGoalsAgainst,roadLosses,roadOtLosses,roadPoints,roadRegulationWins,roadWins
COL,1,2,1,1,1,1,1,1,2,99,302,203,49,157,108,9,6,58,25,26,10,14,20,34,2,1,15,6,7,3,4,1,1,16,11,121,51,48,50,145,95,7,5,63,23,29
CAR,1,2,3,1,1,2,1,1,2,56,296,240,35,161,126,10,2,60,20,29,10,12,27,39,2,1,15,6,7,1,3,5,2,22,7,113,48,39,21,135,114,12,5,53,19,24
DAL,2,3,2,2,2,2,2,2,2,53,279,226,23,135,112,11,4,56,19,26,10,6,28,34,2,1,15,5,7,5,5,2,3,20,12,112,44,38,30,144,114,9,8,56,19,24
BUF,3,6,4,2,2,3,3,1,2,47,288,241,30,149,119,10,5,57,22,26,10,4,30,34,3,1,13,5,6,4,12,6,4,23,9,109,45,42,17,139,122,13,4,52,20,24
TBL,5,12,2,3,3,6,2,2,2,59,290,231,22,137,115,14,1,53,19,26,10,-4,30,26,5,0,10,4,5,8,21,4,5,26,6,106,46,40,37,153,116,12,5,53,21,24
MTL,7,3,1,4,5,1,1,3,2,27,283,256,10,137,127,15,2,50,17,24,10,4,24,28,3,0,14,5,7,12,7,3,6,24,10,106,44,34,17,146,129,9,8,56,17,24
MIN,3,7,4,3,3,4,3,3,2,32,272,240,15,130,115,10,8,54,14,23,10,4,32,36,4,0,12,6,6,7,14,9,7,24,12,104,42,31,17,142,125,14,4,50,17,23
BOS,2,8,13,5,1,4,6,4,2,22,272,250,40,145,105,11,1,59,23,29,10,6,26,32,3,2,12,4,5,2,16,21,8,27,10,100,41,33,-18,127,145,16,9,41,10,16
OTT,6,5,7,6,4,2,4,5,2,32,278,246,31,139,108,12,6,52,21,23,10,10,26,36,3,1,13,6,6,9,10,11,9,27,11,99,41,38,1,139,138,15,5,47,17,21
PIT,10,11,5,7,4,6,2,2,2,25,293,268,7,150,143,13,8,48,16,20,10,6,40,46,5,0,10,5,5,17,20,8,10,25,16,98,38,34,18,143,125,12,8,50,18,21
