teamAbbrev,conferenceHomeSequence,conferenceL10Sequence,conferenceRoadSequence,conferenceSequence,divisionHomeSequence,divisionL10Sequence,divisionRoadSequence,divisionSequence,gameTypeId,goalDifferential,goalFor,goalAgainst,homeGoalDifferential,homeGoalsFor,homeGoalsAgainst,homeLosses,homeOtLosses,homePoints,homeRegulationWins,homeWins,l10GamesPlayed,l10GoalDifferential,l10GoalsAgainst,l10GoalsFor,l10Losses,l10OtLosses,l10Points,l10RegulationWins,l10Wins,leagueHomeSequence,leagueL10Sequence,leagueRoadSequence,leagueSequence,losses,otLosses,points,regulationPlusOtWins,regulationWins,roadGoalDifferential,roadGoalsFor,roadGoalsAgainst,roadLosses,roadOtLosses,roadPoints,roadRegulationWins,roadWins
WPG,2,6,1,1,1,3,1,1,2,86,277,191,58,139,81,7,4,64,25,30,10,9,19,28,3,0,14,5,7,2,9,3,1,22,4,116,54,43,28,138,110,15,0,52,18,26
WSH,3,12,1,1,2,6,1,1,2,56,288,232,34,153,119,9,6,58,22,26,10,-17,44,27,6,0,8,3,4,7,24,1,2,22,9,111,49,43,22,135,113,13,3,53,21,25
VGK,3,7,3,2,2,4,1,1,2,56,275,219,47,147,100,9,3,61,28,29,10,3,25,28,2,2,14,5,6,5,11,5,3,22,10,110,49,46,9,128,119,13,7,49,18,21
TOR,7,1,2,2,4,1,1,1,2,37,268,231,25,129,104,13,1,55,22,27,10,17,15,32,1,0,18,6,9,11,1,2,4,26,4,108,51,41,12,139,127,13,3,53,19,25
DAL,4,13,7,3,2,7,4,2,2,53,277,224,38,141,103,10,3,59,22,28,10,-6,37,31,5,2,8,3,3,6,25,10,5,26,6,106,48,41,15,136,121,16,3,47,19,22
LAK,1,1,11,4,1,1,5,2,2,44,250,206,59,143,84,6,4,66,27,31,10,22,21,43,2,0,16,8,8,1,2,18,6,25,9,105,47,43,-15,107,122,19,5,39,16,17
TBL,2,7,7,3,1,6,4,2,2,75,294,219,68,161,93,8,4,62,27,29,10,8,27,35,2,3,13,5,5,4,14,17,7,27,8,102,45,41,7,133,126,19,4,40,14,18
COL,5,9,6,5,3,5,3,3,2,43,277,234,30,145,115,12,3,55,19,26,10,5,28,33,4,1,11,3,5,12,19,9,8,29,4,102,45,40,13,132,119,17,1,47,21,23
EDM,6,4,4,6,3,3,2,3,2,23,259,236,13,134,121,13,3,53,18,25,10,3,23,26,3,0,14,6,7,13,7,7,9,29,5,101,48,36,10,125,115,16,2,48,18,23
CAR,1,15,11,4,1,8,5,2,2,33,266,233,54,155,101,9,1,63,29,31,10,-7,41,34,6,1,7,3,3,3,29,22,10,30,5,99,47,42,-21,111,132,21,4,36,13,16
FLA,6,16,5,5,3,8,2,3,2,29,252,223,31,130,99,12,2,56,20,27,10,-8,29,21,6,1,7,2,3,10,30,15,11,31,4,98,41,37,-2,122,124,19,2,42,17,20
OTT,4,4,6,6,2,3,3,4,2,9,243,234,26,139,113,11,3,57,21,27,10,6,26,32,2,2,14,5,6,8,10,16,12,30,7,97,44,35,-17,104,121,19,4,40,14,18
MIN,9,8,2,7,5,4,2,4,2,-11,228,239,-13,111,124,17,2,46,15,22,10,-3,35,32,3,2,12,1,5,21,15,4,13,30,7,97,42,33,2,117,115,13,5,51,18,23
STL,8,3,9,8,4,1,6,5,2,21,254,233,24,134,110,14,3,51,18,24,10,11,25,36,2,1,15,5,7,16,5,12,14,30,8,96,40,32,-3,120,123,16,5,45,14,20
CGY,7,2,10,9,4,2,4,4,2,-13,225,238,9,122,113,12,6,52,18,23,10,11,24,35,1,2,16,5,7,14,4,14,15,27,14,96,36,31,-22,103,125,15,8,44,13,18
NJD,13,11,3,7,5,5,2,3,2,20,242,222,5,118,113,17,5,43,17,19,10,-4,32,28,5,0,10,3,5,24,21,6,16,33,7,91,40,36,15,124,109,16,2,48,19,23
MTL,8,2,8,8,5,2,5,5,2,-20,245,265,-1,125,126,12,6,52,16,23,10,8,21,29,1,2,16,6,7,15,3,19,17,31,11,91,38,30,-19,120,139,19,5,39,14,17
VAN,13,11,5,10,6,6,3,5,2,-17,236,253,-16,112,128,16,8,42,16,17,10,-4,34,30,4,2,10,2,4,27,22,8,18,30,14,90,35,28,-1,124,125,14,6,48,12,21
UTA,11,5,8,11,6,2,5,6,2,-10,241,251,-1,118,119,15,8,44,15,18,10,11,27,38,2,2,14,6,6,23,8,11,19,31,13,89,37,30,-9,123,132,16,5,45,15,20
CBJ,5,3,14,9,3,1,8,4,2,5,273,268,41,165,124,10,5,57,20,26,10,13,26,39,3,0,14,7,7,9,6,27,20,33,9,89,34,30,-36,108,144,23,4,32,10,14
DET,10,5,10,10,7,4,6,6,2,-21,238,259,3,128,125,16,3,47,19,22,10,2,28,30,2,2,14,5,6,18,12,21,21,35,8,86,36,30,-24,110,134,19,5,39,11,17
NYR,15,8,4,11,7,2,3,5,2,1,256,255,-8,119,127,19,3,41,16,19,10,3,39,42,4,1,11,4,5,28,16,13,22,36,7,85,38,35,9,137,128,17,4,44,19,20
NYI,14,13,9,12,6,7,4,6,2,-36,224,260,-16,115,131,17,5,43,15,19,10,-15,41,26,5,2,8,3,3,26,26,20,23,35,12,82,33,28,-20,109,129,18,7,39,13,16
PIT,12,9,13,13,4,3,7,7,2,-50,243,293,-12,132,144,15,5,47,13,21,10,-2,32,30,4,1,11,4,5,20,17,26,24,36,12,80,33,24,-38,111,149,21,7,33,11,13
