teamAbbrev,conferenceHomeSequence,conferenceL10Sequence,conferenceRoadSequence,conferenceSequence,divisionHomeSequence,divisionL10Sequence,divisionRoadSequence,divisionSequence,gameTypeId,goalDifferential,goalFor,goalAgainst,homeGoalDifferential,homeGoalsFor,homeGoalsAgainst,homeLosses,homeOtLosses,homePoints,homeRegulationWins,homeWins,l10GamesPlayed,l10GoalDifferential,l10GoalsAgainst,l10GoalsFor,l10Losses,l10OtLosses,l10Points,l10RegulationWins,l10Wins,leagueHomeSequence,leagueL10Sequence,leagueRoadSequence,leagueSequence,losses,otLosses,points,regulationPlusOtWins,regulationWins,roadGoalDifferential,roadGoalsFor,roadGoalsAgainst,roadLosses,roadOtLosses,roadPoints,roadRegulationWins,roadWins
NSH,4,11,1,1,3,4,1,1,2,56,267,211,36,143,107,9,4,60,22,28,10,-2,33,31,4,1,11,4,5,7,20,1,1,18,11,117,47,42,20,124,104,9,7,57,20,25
WPG,1,1,4,2,1,1,2,2,2,59,277,218,58,159,101,7,2,66,26,32,10,8,29,37,1,0,18,4,9,1,1,6,2,20,10,114,48,43,1,118,117,13,8,48,17,20
TBL,3,9,1,1,2,4,1,1,2,60,296,236,30,150,120,10,2,60,20,29,10,2,34,36,4,1,11,5,5,6,16,2,3,23,5,113,48,42,30,146,116,13,3,53,22,25
BOS,2,8,2,2,1,3,2,2,2,56,270,214,44,148,104,8,5,61,24,28,10,2,28,30,3,2,12,4,5,4,12,3,4,20,12,112,47,41,12,122,110,12,7,51,17,22
VGK,3,6,3,3,1,4,2,1,2,44,272,228,44,147,103,10,2,60,23,29,10,-1,29,28,3,2,12,3,5,5,14,5,5,24,7,109,47,39,0,125,125,14,5,49,16,22
WSH,5,1,4,3,2,1,2,1,2,20,259,239,35,138,103,11,2,58,21,28,10,9,25,34,2,0,16,7,8,10,3,8,6,26,7,105,46,38,-15,121,136,15,5,47,17,21
TOR,4,7,6,4,3,2,3,3,2,45,277,232,35,144,109,10,2,60,19,29,10,6,28,34,4,0,12,6,6,8,11,13,7,26,7,105,42,37,10,133,123,16,5,45,18,20
MIN,2,5,9,4,2,2,4,3,2,21,253,232,47,137,90,6,8,62,23,27,10,3,26,29,2,4,12,4,4,3,13,17,8,26,11,101,42,38,-26,116,142,20,3,39,15,18
ANA,6,2,8,5,2,1,5,2,2,19,235,216,24,127,103,10,5,57,23,26,10,12,21,33,1,1,17,5,8,11,2,14,9,25,13,101,40,35,-5,108,113,15,8,44,12,18
PIT,1,6,10,5,1,5,6,2,2,22,272,250,41,151,110,9,2,62,19,30,10,3,32,35,3,1,13,3,6,2,10,19,10,29,6,100,45,33,-19,121,140,20,4,38,14,17
