teamAbbrev,conferenceHomeSequence,conferenceL10Sequence,conferenceRoadSequence,conferenceSequence,divisionHomeSequence,divisionL10Sequence,divisionRoadSequence,divisionSequence,gameTypeId,goalDifferential,goalFor,goalAgainst,homeGoalDifferential,homeGoalsFor,homeGoalsAgainst,homeLosses,homeOtLosses,homePoints,homeRegulationWins,homeWins,l10GamesPlayed,l10GoalDifferential,l10GoalsAgainst,l10GoalsFor,l10Losses,l10OtLosses,l10Points,l10RegulationWins,l10Wins,leagueHomeSequence,leagueL10Sequence,leagueRoadSequence,leagueSequence,losses,otLosses,points,regulationPlusOtWins,regulationWins,roadGoalDifferential,roadGoalsFor,roadGoalsAgainst,roadLosses,roadOtLosses,roadPoints,roadRegulationWins,roadWins
SJS,8,9,5,6,3,6,3,3,2,23,252,229,30,137,107,13,3,53,19,25,10,3,30,33,4,1,11,3,5,15,18,10,11,27,10,100,40,35,-7,115,122,14,7,47,16,20
LAK,9,3,2,7,4,2,1,4,2,36,239,203,20,119,99,15,3,49,17,23,10,10,22,32,2,2,14,4,6,18,8,4,12,29,8,98,43,34,16,120,104,14,5,49,17,22
PHI,8,4,3,6,4,3,1,3,2,8,251,243,5,125,120,13,6,50,18,22,10,8,31,39,1,3,15,5,6,16,6,7,13,26,14,98,40,31,3,126,123,13,8,48,13,20
CBJ,7,5,7,7,3,4,4,4,2,12,242,230,20,118,98,12,3,55,17,26,10,11,31,42,2,2,14,4,6,14,7,15,14,30,7,97,39,30,-8,124,132,18,4,42,13,19
NJD,9,3,5,8,5,2,3,5,2,4,248,244,9,123,114,14,4,50,19,23,10,2,29,31,2,1,15,6,7,17,5,9,15,29,9,97,39,33,-5,125,130,15,5,47,14,21
FLA,6,2,8,9,4,1,4,4,2,2,248,246,19,137,118,11,3,57,22,27,10,5,24,29,2,1,15,7,7,12,4,16,16,30,8,96,41,38,-17,111,128,19,5,39,16,17
COL,5,12,11,8,4,5,6,4,2,20,257,237,48,146,98,11,2,58,24,28,10,-2,28,26,5,1,9,3,4,9,24,22,17,30,9,95,41,35,-28,111,139,19,7,37,11,15
STL,10,8,6,9,6,3,3,5,2,4,226,222,11,115,104,17,0,48,18,24,10,-4,29,25,4,1,11,3,5,19,17,11,18,32,6,94,41,33,-7,111,118,15,6,46,15,20
DAL,7,13,10,10,5,6,5,6,2,10,235,225,29,128,99,12,3,55,21,26,10,-4,32,28,6,0,8,3,4,13,25,21,19,32,8,92,38,33,-19,107,126,20,5,37,12,16
CGY,14,15,7,11,7,8,4,5,2,-30,218,248,-21,109,130,20,4,38,13,17,10,-19,35,16,8,0,4,2,2,28,31,12,20,35,10,84,35,28,-9,109,118,15,6,46,15,20
CAR,12,10,9,10,7,6,5,6,2,-28,228,256,-12,110,122,16,6,44,15,19,10,3,31,34,5,0,10,4,5,22,21,18,21,35,11,83,33,30,-16,118,134,19,5,39,15,17
NYI,13,11,11,11,8,7,7,7,2,-32,264,296,-13,140,153,18,4,42,14,19,10,-1,34,33,5,0,10,4,5,23,22,20,22,37,10,80,32,25,-19,124,143,19,6,38,11,16
EDM,11,10,12,12,5,7,6,6,2,-29,234,263,-20,121,141,18,4,42,12,19,10,1,32,33,4,1,11,4,5,24,19,23,23,40,6,78,31,24,-9,113,122,22,2,36,12,17
NYR,10,14,14,12,6,8,8,8,2,-37,231,268,-1,126,127,16,4,46,17,21,10,-14,37,23,7,1,5,2,2,20,28,29,24,39,9,77,31,24,-36,105,141,23,5,31,7,13
CHI,12,14,13,13,7,7,7,7,2,-27,229,256,7,119,112,18,5,41,13,18,10,-13,38,25,5,2,8,3,3,25,26,24,25,39,10,76,32,26,-34,110,144,21,5,35,13,15
VAN,13,4,14,14,6,3,7,7,2,-46,218,264,-21,119,140,18,7,39,11,16,10,4,28,32,2,2,14,4,6,27,9,26,26,40,11,73,31,25,-25,99,124,22,4,34,14,15
DET,14,12,13,13,6,5,6,5,2,-38,217,255,-13,105,118,16,9,41,12,16,10,2,31,33,4,2,10,3,4,26,23,28,27,39,13,73,25,22,-25,112,137,23,4,32,10,14
MTL,11,13,16,14,5,6,8,6,2,-55,209,264,-1,116,117,14,9,45,15,18,10,-7,34,27,6,1,7,3,3,21,27,31,28,40,13,71,27,24,-54,93,147,26,4,26,9,11
ARI,15,7,15,15,8,5,8,8,2,-48,208,256,-16,102,118,21,4,36,10,16,10,7,26,33,4,1,11,5,5,30,15,27,29,41,12,70,27,20,-32,106,138,20,8,34,10,13
OTT,15,16,15,15,7,8,7,7,2,-70,221,291,-28,125,153,19,6,38,10,16,10,-18,40,22,8,0,4,1,2,29,30,30,30,43,11,67,26,18,-42,96,138,24,5,29,8,12
BUF,16,15,12,16,8,7,5,8,2,-81,199,280,-48,91,139,25,5,27,11,11,10,-17,44,27,8,0,4,2,2,31,29,25,31,45,12,62,24,19,-33,108,141,20,7,35,8,14
