teamAbbrev,conferenceHomeSequence,conferenceL10Sequence,conferenceRoadSequence,conferenceSequence,divisionHomeSequence,divisionL10Sequence,divisionRoadSequence,divisionSequence,gameTypeId,goalDifferential,goalFor,goalAgainst,homeGoalDifferential,homeGoalsFor,homeGoalsAgainst,homeLosses,homeOtLosses,homePoints,homeRegulationWins,homeWins,l10GamesPlayed,l10GoalDifferential,l10GoalsAgainst,l10GoalsFor,l10Losses,l10OtLosses,l10Points,l10RegulationWins,l10Wins,leagueHomeSequence,leagueL10Sequence,leagueRoadSequence,leagueSequence,losses,otLosses,points,regulationPlusOtWins,regulationWins,roadGoalDifferential,roadGoalsFor,roadGoalsAgainst,roadLosses,roadOtLosses,roadPoints,roadRegulationWins,roadWins
TBL,1,2,1,1,1,2,1,1,2,103,325,222,65,168,103,7,2,66,28,32,10,10,32,42,3,0,14,6,7,1,6,1,1,16,4,128,56,49,38,157,119,9,2,62,21,30
CGY,1,7,1,1,1,3,1,1,2,62,289,227,39,166,127,10,5,57,24,26,10,12,21,33,4,0,12,6,6,3,14,5,2,25,7,107,50,45,23,123,100,15,2,50,21,24
BOS,2,7,8,2,2,4,3,2,2,44,259,215,40,141,101,9,3,61,22,29,10,13,30,43,4,0,12,6,6,2,13,12,3,24,9,107,47,38,4,118,114,15,6,46,16,20
WSH,3,5,5,3,1,2,3,1,2,29,278,249,26,138,112,11,6,54,20,24,10,6,24,30,3,1,13,6,6,6,9,6,4,26,8,104,44,39,3,140,137,15,2,50,19,24
NYI,6,9,4,4,3,5,2,2,2,32,228,196,22,118,96,13,4,52,18,24,10,-1,23,22,4,0,12,5,6,11,16,4,5,27,7,103,43,37,10,110,100,14,3,51,19,24
SJS,2,14,4,2,2,8,2,2,2,28,289,261,29,148,119,11,5,55,21,25,10,-8,39,31,6,1,7,2,3,4,28,11,6,27,9,101,46,38,-1,141,142,16,4,46,17,21
TOR,8,12,2,5,4,6,2,3,2,35,286,251,23,146,123,16,2,48,21,23,10,-8,35,27,4,3,9,3,3,15,22,2,7,28,8,100,46,40,12,140,128,12,6,52,19,23
NSH,5,4,3,3,2,3,2,1,2,26,240,214,20,121,101,14,2,52,20,25,10,4,21,25,2,1,15,7,7,10,4,9,8,29,6,100,43,38,6,119,113,15,4,48,18,22
PIT,7,6,6,6,4,3,4,3,2,32,273,241,10,135,125,14,4,50,20,23,10,2,23,25,2,3,13,4,5,13,12,7,9,26,12,100,42,37,22,138,116,12,8,50,17,21
WPG,3,10,5,4,1,6,3,2,2,28,272,244,33,151,118,12,4,54,21,25,10,-5,31,26,5,1,9,3,4,5,20,13,10,30,5,99,45,38,-5,121,126,18,1,45,17,22
CAR,5,8,7,7,2,4,5,4,2,22,245,223,20,128,108,13,4,52,20,24,10,5,25,30,4,0,12,5,6,9,15,10,11,29,7,99,44,39,2,117,115,16,3,47,19,22
STL,7,1,2,5,4,1,1,3,2,24,247,223,13,136,123,15,2,50,19,24,10,15,25,40,1,1,17,5,8,14,1,8,12,28,9,99,42,36,11,111,100,13,7,49,17,21
CBJ,12,4,3,8,6,1,1,5,2,26,258,232,8,133,125,17,2,46,19,22,10,16,22,38,3,0,14,6,7,20,8,3,13,31,4,98,45,37,18,125,107,14,2,52,18,25
MTL,4,1,9,9,3,1,4,4,2,13,249,236,26,136,110,12,4,54,22,25,10,13,24,37,2,1,15,6,7,7,5,16,14,30,8,96,41,37,-13,113,126,18,4,42,15,19
DAL,6,5,7,6,3,4,5,4,2,8,210,202,24,117,93,14,3,51,22,24,10,5,24,29,3,1,13,5,6,12,10,15,15,32,7,93,42,36,-16,93,109,18,4,42,14,19
VGK,4,11,10,7,3,5,4,3,2,19,249,230,31,132,101,12,5,53,22,24,10,-1,30,29,5,2,8,3,3,8,25,19,16,32,7,93,40,36,-12,117,129,20,2,40,14,19
COL,8,2,8,8,5,2,6,5,2,14,260,246,15,130,115,14,6,48,17,21,10,8,23,31,1,2,16,5,7,16,2,17,17,30,14,90,36,33,-1,130,131,16,8,42,16,17
ARI,12,12,9,9,6,6,3,4,2,-10,213,223,10,111,101,17,4,44,18,20,10,-5,23,18,5,2,8,3,3,25,26,18,18,35,8,86,35,30,-20,102,122,18,4,42,12,19
FLA,9,10,11,10,5,5,5,5,2,-13,267,280,17,139,122,13,8,48,15,20,10,-5,38,33,4,2,10,4,4,17,18,23,19,32,14,86,33,26,-30,128,158,19,6,38,11,16
CHI,9,9,12,10,6,5,7,6,2,-22,270,292,2,141,139,14,8,46,13,19,10,-2,29,27,4,2,10,2,4,21,19,22,20,34,12,84,33,24,-24,129,153,20,4,38,11,17
MIN,14,15,6,11,7,7,4,7,2,-26,211,237,-14,105,119,18,7,39,12,16,10,-12,26,14,6,1,7,3,3,30,29,14,21,36,9,83,36,33,-12,106,118,18,2,44,21,21
PHI,14,16,10,11,8,8,6,6,2,-37,244,281,-14,121,135,18,4,42,13,19,10,-18,40,22,8,0,4,1,2,26,31,20,22,37,8,82,34,28,-23,123,146,19,4,40,15,18
VAN,11,8,13,12,5,4,6,5,2,-29,225,254,-4,122,126,16,5,45,14,20,10,-2,31,29,4,1,11,2,5,23,17,24,23,36,11,81,29,22,-25,103,128,20,6,36,8,15
ANA,10,3,14,13,4,1,7,6,2,-52,199,251,-8,110,118,14,8,46,13,19,10,5,29,34,2,1,15,6,7,22,3,26,24,37,10,80,32,27,-44,89,133,23,2,34,14,16
EDM,13,13,11,14,7,7,5,7,2,-42,232,274,-9,124,133,19,4,40,13,18,10,-9,37,28,5,2,8,3,3,28,27,21,25,38,9,79,32,24,-33,108,141,19,5,39,11,17
NYR,13,11,13,12,7,6,7,7,2,-45,227,272,-1,116,117,14,9,45,15,18,10,-6,31,25,5,1,9,2,4,24,21,28,26,36,14,78,26,23,-44,111,155,22,5,33,8,14
BUF,11,15,14,13,6,8,7,6,2,-45,226,271,-7,122,129,15,5,47,14,21,10,-12,38,26,7,1,5,2,2,19,30,29,27,39,10,76,28,21,-38,104,142,24,5,29,7,12
DET,16,3,12,14,8,3,6,7,2,-50,227,277,-12,118,130,19,5,39,11,17,10,2,30,32,3,0,14,5,7,29,7,25,28,40,10,74,29,20,-38,109,147,21,5,35,9,15
NJD,10,13,15,15,5,7,8,8,2,-53,222,275,4,118,114,14,7,47,18,20,10,-11,29,18,5,1,9,2,4,18,23,30,29,41,10,72,28,24,-57,104,161,27,3,25,6,11
LAK,15,6,15,15,8,2,8,8,2,-61,202,263,-20,110,130,21,3,37,15,17,10,-1,33,32,3,1,13,4,6,31,11,27,30,42,9,71,28,22,-41,92,133,21,6,34,7,14
OTT,15,14,16,16,7,7,8,8,2,-60,242,302,0,125,125,19,4,40,15,18,10,-10,39,29,6,0,8,3,4,27,24,31,31,47,6,64,29,23,-60,117,177,28,2,24,8,11
