teamAbbrev,conferenceHomeSequence,conferenceL10Sequence,conferenceRoadSequence,conferenceSequence,divisionHomeSequence,divisionL10Sequence,divisionRoadSequence,divisionSequence,gameTypeId,goalDifferential,goalFor,goalAgainst,homeGoalDifferential,homeGoalsFor,homeGoalsAgainst,homeLosses,homeOtLosses,homePoints,homeRegulationWins,homeWins,l10GamesPlayed,l10GoalDifferential,l10GoalsAgainst,l10GoalsFor,l10Losses,l10OtLosses,l10Points,l10RegulationWins,l10Wins,leagueHomeSequence,leagueL10Sequence,leagueRoadSequence,leagueSequence,losses,otLosses,points,regulationPlusOtWins,regulationWins,roadGoalDifferential,roadGoalsFor,roadGoalsAgainst,roadLosses,roadOtLosses,roadPoints,roadRegulationWins,roadWins
BOS,1,1,1,1,1,1,1,1,2,128,305,177,71,145,74,4,3,71,28,34,10,11,23,34,1,0,18,5,9,1,2,1,1,12,5,135,61,54,57,160,103,8,2,64,26,31
CAR,4,10,4,2,1,5,3,1,2,53,266,213,34,137,103,10,3,59,23,28,10,0,25,25,5,0,10,4,5,4,21,9,2,21,9,113,48,39,19,129,110,11,6,54,16,24
NJD,6,4,2,3,3,1,1,2,2,65,291,226,30,137,107,13,4,52,18,24,10,12,28,40,3,0,14,6,7,11,8,2,3,22,8,112,50,39,35,154,119,9,4,60,21,28
TOR,3,2,6,4,3,2,3,2,2,57,279,222,42,147,105,8,6,60,22,27,10,10,21,31,1,2,16,6,7,3,5,11,4,21,11,111,49,42,15,132,117,13,5,51,20,23
VGK,6,4,1,1,3,2,1,1,2,43,272,229,17,133,116,15,1,51,19,25,10,7,27,34,1,3,15,4,6,14,6,3,5,22,9,111,46,38,26,139,113,7,8,60,19,26
EDM,5,1,3,2,2,1,2,2,2,65,325,260,33,159,126,12,6,52,19,23,10,24,18,42,0,1,19,8,9,10,1,5,6,23,9,109,50,45,32,166,134,11,3,57,26,27
COL,7,2,2,3,4,1,1,1,2,54,280,226,25,137,112,13,6,50,18,22,10,14,26,40,1,1,17,6,8,17,3,4,7,24,7,109,45,36,29,143,114,11,1,59,18,29
DAL,4,3,5,4,3,2,2,2,2,67,285,218,27,142,115,10,9,53,18,22,10,18,17,35,2,0,16,7,8,9,4,8,8,21,14,108,43,39,40,143,103,11,5,55,21,25
NYR,9,6,3,5,4,2,2,3,2,58,277,219,25,141,116,13,5,51,18,23,10,10,24,34,2,3,13,5,5,15,11,7,9,22,13,107,43,37,33,136,103,9,8,56,19,24
LAK,1,11,7,5,1,6,4,3,2,23,280,257,27,148,121,11,4,56,22,26,10,2,27,29,5,0,10,5,5,5,20,13,10,25,10,104,41,37,-4,132,136,14,6,48,15,21
MIN,3,8,6,6,2,4,3,3,2,21,246,225,11,123,112,12,4,54,16,25,10,2,28,30,3,2,12,5,5,7,14,12,11,25,11,103,39,34,10,123,113,13,7,49,18,21
SEA,11,6,4,7,5,4,3,4,2,33,289,256,10,137,127,17,4,44,16,20,10,11,25,36,4,0,12,6,6,21,12,6,12,28,8,100,46,37,23,152,129,11,4,56,21,26
TBL,2,12,11,6,2,7,5,3,2,29,283,254,57,165,108,8,5,61,25,28,10,0,33,33,6,0,8,4,4,2,24,23,13,30,6,98,43,38,-28,118,146,22,1,37,13,18
WPG,2,7,11,8,1,3,5,4,2,22,247,225,29,132,103,13,2,54,22,26,10,8,22,30,4,0,12,6,6,6,13,18,14,33,3,95,45,36,-7,115,122,20,1,41,14,20
NYI,5,8,9,7,2,4,5,4,2,21,243,222,32,126,94,13,3,53,22,25,10,4,24,28,4,1,11,4,5,8,18,20,15,31,9,93,41,36,-11,117,128,18,6,40,14,17
CGY,10,5,8,9,4,3,5,5,2,8,260,252,1,127,126,16,5,45,17,20,10,5,27,32,2,2,14,5,6,20,9,14,16,27,17,93,36,31,7,133,126,11,12,48,14,18
FLA,8,5,7,8,5,4,4,4,2,17,290,273,28,153,125,13,5,51,20,23,10,12,26,38,3,1,13,5,6,13,10,17,17,32,8,92,40,36,-11,137,148,19,3,41,16,19
NSH,8,9,9,10,5,5,4,5,2,-9,229,238,0,117,117,15,4,48,15,22,10,3,22,25,4,0,12,3,6,18,15,15,18,32,8,92,36,29,-9,112,121,17,4,44,14,20
PIT,10,7,8,9,5,3,4,5,2,-2,262,264,15,143,128,13,5,51,17,23,10,0,31,31,4,1,11,5,5,16,17,19,19,31,11,91,39,31,-17,119,136,18,6,40,14,17
BUF,14,3,5,10,7,3,2,5,2,-4,296,300,-19,145,164,20,4,38,12,17,10,5,33,38,2,1,15,3,7,27,7,10,20,33,7,91,39,30,15,151,136,13,3,53,18,25
OTT,7,9,13,11,4,5,7,6,2,-10,261,271,28,152,124,14,3,51,20,24,10,-5,38,33,3,3,11,3,4,12,19,25,21,35,8,86,37,31,-38,109,147,21,5,35,11,15
VAN,13,10,10,11,6,5,6,6,2,-22,276,298,-10,133,143,20,2,40,13,19,10,-3,33,30,3,2,12,3,5,26,16,16,22,37,7,83,32,24,-12,143,155,17,5,43,11,19
STL,12,12,12,12,7,6,6,6,2,-38,263,301,-15,130,145,17,6,42,12,18,10,-7,40,33,5,1,9,2,4,24,23,21,23,38,7,81,34,27,-23,133,156,21,1,39,15,19
DET,11,11,12,12,6,6,6,7,2,-39,240,279,-12,125,137,17,5,43,17,19,10,-10,41,31,5,1,9,4,4,22,22,24,24,37,10,80,32,28,-27,115,142,20,5,37,11,16
WSH,12,15,10,13,6,7,6,6,2,-10,255,265,2,129,127,16,7,43,14,18,10,-11,39,28,6,2,6,2,2,23,28,22,25,37,10,80,33,27,-12,126,138,21,3,37,13,17
PHI,13,13,14,14,7,6,7,7,2,-55,222,277,-13,123,136,18,5,41,15,18,10,-14,41,27,6,1,7,1,3,25,26,26,26,38,13,75,29,26,-42,99,141,20,8,34,11,13
ARI,9,15,16,13,6,8,8,7,2,-71,228,299,-12,130,142,15,5,47,13,21,10,-24,49,25,7,2,4,0,1,19,31,32,27,40,14,70,25,20,-59,98,157,25,9,23,7,7
MTL,15,14,15,15,8,8,8,8,2,-75,232,307,-29,123,152,21,3,37,11,17,10,-10,39,29,7,0,6,2,3,28,27,28,28,45,6,68,26,21,-46,109,155,24,3,31,10,14
SJS,16,13,13,14,8,7,7,7,2,-87,234,321,-55,114,169,22,11,27,6,8,10,-12,40,28,6,1,7,2,3,32,25,27,29,44,16,60,21,16,-32,120,152,22,5,33,10,14
CHI,14,14,15,15,8,7,7,8,2,-97,204,301,-40,115,155,23,4,32,8,14,10,-16,43,27,7,1,5,2,2,30,30,30,30,49,7,59,24,18,-57,89,146,26,3,27,10,12
CBJ,16,16,16,16,8,8,8,8,2,-116,214,330,-46,114,160,23,2,34,9,16,10,-27,45,18,6,2,6,0,2,29,29,31,31,48,9,59,24,15,-70,100,170,25,7,25,6,9
ANA,15,16,14,16,7,8,8,8,2,-129,209,338,-62,105,167,25,4,28,5,12,10,-24,47,23,8,2,2,0,0,31,32,29,32,47,12,58,20,13,-67,104,171,22,8,30,8,11
