teamAbbrev,conferenceHomeSequence,conferenceL10Sequence,conferenceRoadSequence,conferenceSequence,divisionHomeSequence,divisionL10Sequence,divisionRoadSequence,divisionSequence,gameTypeId,goalDifferential,goalFor,goalAgainst,homeGoalDifferential,homeGoalsFor,homeGoalsAgainst,homeLosses,homeOtLosses,homePoints,homeRegulationWins,homeWins,l10GamesPlayed,l10GoalDifferential,l10GoalsAgainst,l10GoalsFor,l10Losses,l10OtLosses,l10Points,l10RegulationWins,l10Wins,leagueHomeSequence,leagueL10Sequence,leagueRoadSequence,leagueSequence,losses,otLosses,points,regulationPlusOtWins,regulationWins,roadGoalDifferential,roadGoalsFor,roadGoalsAgainst,roadLosses,roadOtLosses,roadPoints,roadRegulationWins,roadWins
NYR,1,4,4,1,1,4,1,1,2,53,282,229,32,142,110,11,0,60,24,30,10,6,30,36,3,0,14,5,7,2,6,5,1,23,4,114,51,43,21,140,119,12,4,54,19,25
DAL,6,2,1,1,3,2,1,1,2,64,298,234,31,155,124,11,4,56,16,26,10,16,18,34,2,0,16,7,8,8,3,1,2,21,9,113,48,40,33,143,110,10,5,57,24,26
CAR,2,2,5,2,2,2,2,2,2,63,279,216,35,136,101,10,4,58,22,27,10,11,21,32,3,0,14,7,7,5,4,6,3,23,7,111,50,44,28,143,115,13,3,53,22,25
WPG,4,1,2,2,2,1,2,2,2,60,259,199,39,137,98,11,3,57,26,27,10,16,22,38,2,0,16,7,8,6,2,7,4,24,6,110,52,46,21,122,101,13,3,53,20,25
FLA,5,5,1,3,3,1,1,1,2,68,268,200,24,129,105,13,2,54,19,26,10,11,23,34,3,1,13,4,6,11,7,2,5,24,6,110,49,42,44,139,95,11,4,56,23,26
VAN,3,7,4,3,2,3,1,1,2,56,279,223,45,144,99,9,5,59,24,27,10,-3,31,28,4,1,11,5,5,4,16,9,6,23,9,109,50,44,11,135,124,14,4,50,20,23
BOS,4,6,2,4,2,2,2,2,2,43,267,224,27,138,111,11,6,54,20,24,10,2,24,26,4,0,12,4,6,10,11,3,7,20,15,109,43,36,16,129,113,9,9,55,16,23
COL,1,10,7,4,1,5,4,3,2,50,304,254,61,173,112,9,1,63,27,31,10,-6,40,34,4,2,10,4,4,1,20,13,8,25,7,107,48,42,-11,131,142,16,6,44,15,19
EDM,2,9,6,5,1,5,3,2,2,57,294,237,64,170,106,9,4,60,24,28,10,1,31,32,4,2,10,4,4,3,19,12,9,27,6,104,47,39,-7,124,131,18,2,44,15,21
TOR,10,10,3,5,5,6,3,3,2,40,303,263,15,156,141,15,4,48,12,22,10,1,36,37,4,1,11,4,5,19,17,4,10,26,10,102,41,33,25,147,122,11,6,54,21,24
NSH,9,11,3,6,5,6,3,4,2,21,269,248,9,135,126,16,2,48,18,23,10,-5,38,33,5,1,9,3,4,18,23,8,11,30,5,99,44,38,12,134,122,14,3,51,20,24
LAK,8,3,5,7,4,1,2,3,2,41,256,215,29,133,104,12,7,51,18,22,10,6,26,32,4,0,12,5,6,14,8,10,12,27,11,99,42,37,12,123,111,15,4,48,19,22
TBL,3,8,7,6,1,4,4,4,2,23,291,268,32,157,125,11,5,55,21,25,10,6,32,38,4,1,11,5,5,9,14,14,13,29,8,98,42,37,-9,134,143,18,3,43,16,20
VGK,5,5,9,8,3,2,4,4,2,22,267,245,34,138,104,12,2,56,21,27,10,4,31,35,4,0,12,4,6,7,10,17,14,29,8,98,41,34,-12,129,141,17,6,42,13,18
NYI,6,1,9,7,3,1,5,3,2,-17,246,263,-2,125,127,10,10,52,16,21,10,9,22,31,1,1,17,6,8,13,1,18,15,27,16,94,38,29,-15,121,136,17,6,42,13,18
STL,7,6,11,9,4,4,6,5,2,-11,239,250,14,131,117,14,2,52,20,25,10,-2,33,31,3,2,12,3,5,12,12,22,16,33,6,92,38,31,-25,108,133,19,4,40,11,18
WSH,8,11,11,8,4,5,6,4,2,-37,220,257,-4,118,122,12,7,51,16,22,10,-7,28,21,4,2,10,4,4,16,21,21,17,31,11,91,36,32,-33,102,135,19,4,40,16,18
DET,7,7,12,9,4,3,6,5,2,4,278,274,24,148,124,13,5,51,17,23,10,-1,34,33,3,2,12,2,5,15,13,23,18,32,9,91,38,27,-20,130,150,19,4,40,10,18
PIT,9,3,14,10,5,3,7,5,2,4,255,251,11,132,121,14,4,50,20,23,10,8,35,43,2,2,14,5,6,17,5,26,19,32,12,88,36,32,-7,123,130,18,8,38,12,15
MIN,10,12,8,10,6,7,5,6,2,-12,251,263,-4,127,131,16,5,45,15,20,10,-4,32,28,6,0,8,4,4,20,24,16,20,34,9,87,36,32,-8,124,132,18,4,42,17,19
PHI,11,16,8,11,6,8,4,6,2,-26,235,261,-13,112,125,17,4,44,16,20,10,-18,41,23,6,2,6,2,2,22,31,15,21,33,11,87,34,30,-13,123,136,16,7,43,14,18
BUF,13,9,10,12,7,5,5,6,2,2,246,244,10,125,115,19,1,43,17,21,10,2,28,30,4,1,11,5,5,25,15,19,22,37,6,84,37,33,-8,121,129,18,5,41,16,18
NJD,15,15,6,13,8,7,3,7,2,-19,264,283,-22,129,151,21,3,37,14,17,10,-10,39,29,6,1,7,3,3,28,29,11,23,39,5,81,38,33,3,135,132,18,2,44,19,21
CGY,12,8,12,11,5,4,6,5,2,-18,253,271,-5,125,130,19,1,43,17,21,10,-2,35,33,5,0,10,4,5,24,18,25,24,39,5,81,38,32,-13,128,141,20,4,38,15,17
SEA,13,13,10,12,6,6,5,6,2,-19,217,236,-4,113,117,18,6,40,14,17,10,-4,28,24,6,0,8,4,4,26,25,20,25,35,13,81,31,28,-15,104,119,17,7,41,14,17
OTT,12,12,15,14,6,7,8,7,2,-26,255,281,-9,136,145,18,2,44,14,21,10,-8,30,22,5,0,10,2,5,23,22,27,26,41,4,78,32,25,-17,119,136,23,2,34,11,16
ARI,11,4,13,13,7,3,7,7,2,-18,256,274,4,136,132,19,0,44,17,22,10,5,38,43,4,0,12,4,6,21,9,28,27,41,5,77,34,28,-22,120,142,22,5,33,11,14
MTL,16,14,13,15,8,8,7,8,2,-53,236,289,-20,119,139,20,5,37,11,16,10,-7,43,36,4,4,8,2,2,29,27,24,28,36,16,76,26,20,-33,117,150,16,11,39,9,14
CBJ,14,13,16,16,7,6,8,8,2,-63,237,300,-12,125,137,19,5,39,14,17,10,-4,34,30,6,0,8,3,4,27,26,30,29,43,12,66,24,21,-51,112,163,24,7,27,7,10
ANA,15,14,14,14,7,7,7,7,2,-91,204,295,-40,100,140,26,3,27,9,12,10,-9,36,27,6,1,7,3,3,31,28,29,30,50,5,59,26,21,-51,104,155,24,2,32,12,15
CHI,14,16,16,15,8,8,8,8,2,-111,179,290,-28,100,128,21,4,36,12,16,10,-14,33,19,7,1,5,2,2,30,32,32,31,53,6,52,22,17,-83,79,162,32,2,16,5,7
SJS,16,15,15,16,8,8,8,8,2,-150,181,331,-71,93,164,25,5,27,9,11,10,-15,37,22,6,1,7,2,3,32,30,31,32,54,9,47,18,14,-79,88,167,29,4,20,5,8
