homeTeam,awayTeam,winner,games
FLA,TBL,1,5
BOS,TOR,1,7
NYR,WSH,1,4
CAR,NYI,1,5
DAL,VGK,1,7
WPG,COL,0,5
VAN,NSH,1,6
EDM,LAK,1,5
FLA,BOS,1,6
NYR,CAR,1,6
DAL,COL,1,6
VAN,EDM,0,7
NYR,FLA,0,6
DAL,EDM,0,6
FLA,EDM,1,7
