homeTeam,homeTeamWins,awayTeam,awayTeamWins
TOR,4,OTT,2
TBL,1,FLA,4
WSH,4,MTL,1
CAR,4,NJD,1
WPG,4,STL,3
DAL,4,COL,3
VGK,4,MIN,2
LAK,2,EDM,4
TOR,3,FLA,4
WSH,1,CAR,4
WPG,2,DAL,4
VGK,1,EDM,4
CAR,1,FLA,4
DAL,1,EDM,4
EDM,2,FLA,4
