homeTeam,awayTeam,winner,games
FLA,WSH,1,6
TOR,TBL,0,7
CAR,BOS,1,7
NYR,PIT,1,7
COL,NSH,1,4
MIN,STL,0,6
CGY,DAL,1,7
EDM,LAK,1,7
FLA,TBL,0,4
CAR,NYR,0,7
COL,STL,1,6
CGY,EDM,0,5
NYR,TBL,0,6
COL,EDM,1,4
COL,TBL,1,6
