homeTeam,homeTeamWins,awayTeam,awayTeamWins
BOS,3,FLA,4
TOR,4,TBL,2
CAR,4,NYI,2
NJD,4,NYR,3
COL,3,SEA,4
DAL,4,MIN,2
VGK,4,WPG,1
EDM,4,LAK,2
TOR,1,FLA,4
CAR,4,NJD,1
DAL,4,SEA,3
VGK,4,EDM,2
CAR,0,FLA,4
VGK,4,DAL,2
VGK,4,FLA,1
