homeTeam,homeTeamWins,awayTeam,awayTeamWins
NSH,4,COL,2
WPG,4,MIN,1
TBL,4,NJD,1
BOS,4,TOR,3
VGK,4,LAK,0
ANA,0,SJS,4
WSH,4,CBJ,2
PIT,4,PHI,2
NSH,3,WPG,4
VGK,4,SJS,2
TBL,4,BOS,1
WSH,4,PIT,2
WPG,1,VGK,4
TBL,3,WSH,4
VGK,1,WSH,4
