homeTeam,awayTeam,winner,games
NSH,DAL,0,6
WPG,STL,0,6
TBL,CBJ,0,4
BOS,TOR,1,7
CGY,COL,0,5
SJS,VGK,1,7
WSH,CAR,0,7
NYI,PIT,1,4
STL,DAL,1,7
SJS,COL,1,7
BOS,CBJ,1,6
NYI,CAR,0,4
SJS,STL,0,6
BOS,CAR,1,4
BOS,STL,0,7
