homeTeam,homeTeamWins,awayTeam,awayTeamWins
STL,2,MIN,4
NSH,2,CHI,4
MTL,4,OTT,2
TBL,4,DET,3
ANA,4,WPG,0
VAN,2,CGY,4
NYR,4,PIT,1
WSH,4,NYI,3
CHI,4,MIN,0
ANA,4,CGY,1
MTL,2,TBL,4
NYR,4,WSH,3
ANA,3,CHI,4
NYR,3,TBL,4
TBL,2,CHI,4
