homeTeam,homeTeamWins,awayTeam,awayTeamWins
DAL,4,MIN,2
STL,4,CHI,3
FLA,2,NYI,4
TBL,4,DET,1
ANA,3,NSH,4
LAK,1,SJS,4
WSH,4,PHI,2
PIT,4,NYR,1
DAL,3,STL,4
SJS,4,NSH,3
TBL,4,NYI,1
WSH,2,PIT,4
STL,2,SJS,4
PIT,4,TBL,3
PIT,4,SJS,2
